TIPO;ESPESOR;DIAMETRO;PULGADA;UNIDAD;PRECIO AISLAMIENTO;PRECIO ALUMINIO
INJERTO;25;48;"1""1/2";Ud;0,65;2,32
INJERTO;25;60;"2""";Ud;0,65;2,32
INJERTO;25;76;"2""1/2";Ud;0,65;2,32
INJERTO;25;89;"3""";Ud;0,65;2,84
INJERTO;25;114;"4""";Ud;1,08;2,84
INJERTO;25;140;"5""";Ud;1,08;2,84
INJERTO;25;170;"6""";Ud;1,08;2,84
INJERTO;32;15;"1/4""";Ud;0,65;0,00
INJERTO;32;18;"3/8""";Ud;0,65;0,00
INJERTO;32;22;"1/2""";Ud;0,65;2,32
INJERTO;32;28;"3/4""";Ud;0,65;2,32
INJERTO;32;35;"1""";Ud;0,65;2,32
INJERTO;32;42;"1""1/4";Ud;0,65;2,58
INJERTO;32;48;"1""1/2";Ud;0,65;2,58
INJERTO;32;60;"2""";Ud;0,65;2,58
INJERTO;32;76;"2""1/2";Ud;0,65;2,58
INJERTO;32;89;"3""";Ud;0,65;3,09
INJERTO;32;114;"4""";Ud;1,08;3,35
INJERTO;32;140;"5""";Ud;1,08;4,12
INJERTO;32;170;"6""";Ud;1,08;4,12
INJERTO;40;15;"1/4""";Ud;0,65;0,00
INJERTO;40;18;"3/8""";Ud;0,65;0,00
INJERTO;40;22;"1/2""";Ud;0,65;2,58
INJERTO;40;28;"3/4""";Ud;0,65;2,58
INJERTO;40;35;"1""";Ud;0,65;2,58
INJERTO;40;42;"1""1/4";Ud;0,87;2,84
INJERTO;40;48;"1""1/2";Ud;0,87;2,84
INJERTO;40;60;"2""";Ud;1,08;2,84
INJERTO;40;76;"2""1/2";Ud;1,08;2,84
INJERTO;40;89;"3""";Ud;1,08;3,35
INJERTO;40;114;"4""";Ud;1,30;3,61
INJERTO;40;140;"5""";Ud;1,30;4,12
INJERTO;40;170;"6""";Ud;1,30;4,64
INJERTO;50;22;"1/2""";Ud;0,87;3,09
INJERTO;50;28;"3/4""";Ud;0,87;3,09
INJERTO;50;35;"1""";Ud;0,87;3,09
INJERTO;50;42;"1""1/4";Ud;1,30;3,35
INJERTO;50;48;"1""1/2";Ud;1,30;3,35
INJERTO;50;60;"2""";Ud;1,63;3,35
INJERTO;50;76;"2""1/2";Ud;1,95;3,35
INJERTO;50;89;"3""";Ud;1,95;3,61
INJERTO;50;114;"4""";Ud;2,06;4,12
INJERTO;50;140;"5""";Ud;2,06;4,64
INJERTO;50;170;"6""";Ud;2,06;4,64
INJERTO;60;114;"4""";Ud;2,86;5,15
INJERTO;60;140;"5""";Ud;3,10;5,15
INJERTO;60;170;"6""";Ud;3,10;5,15
CONO;6;15;"1/4""";Ud;0,65;0,00
CONO;6;18;"3/8""";Ud;0,65;0,00
CONO;6;22;"1/2""";Ud;0,65;0,00
CONO;6;28;"3/4""";Ud;0,65;0,00
CONO;6;35;"1""";Ud;0,65;0,00
CONO;6;42;"1""1/4";Ud;0,65;0,00
CONO;9;15;"1/4""";Ud;0,65;0,00
CONO;9;18;"3/8""";Ud;0,65;0,00
CONO;9;22;"1/2""";Ud;0,65;0,00
CONO;9;28;"3/4""";Ud;0,65;0,00
CONO;9;35;"1""";Ud;0,65;0,00
CONO;9;42;"1""1/4";Ud;0,65;0,00
CONO;9;48;"1""1/2";Ud;0,65;0,00
CONO;9;60;"2""";Ud;0,65;0,00
CONO;9;76;"2""1/2";Ud;0,65;0,00
CONO;9;89;"3""";Ud;0,65;0,00
CONO;9;114;"4""";Ud;1,08;0,00
CONO;9;140;"5""";Ud;1,08;0,00
CONO;9;170;"6""";Ud;1,08;0,00
CONO;13;15;"1/4""";Ud;0,65;0,00
CONO;13;18;"3/8""";Ud;0,65;0,00
CONO;13;22;"1/2""";Ud;0,65;0,00
CONO;13;28;"3/4""";Ud;0,65;0,00
CONO;13;35;"1""";Ud;0,65;0,00
CONO;13;42;"1""1/4";Ud;0,65;0,00
CONO;13;48;"1""1/2";Ud;0,65;0,00
CONO;13;60;"2""";Ud;0,65;0,00
CONO;13;76;"2""1/2";Ud;0,65;0,00
CONO;13;89;"3""";Ud;0,65;0,00
CONO;13;114;"4""";Ud;0,65;0,00
CONO;13;140;"5""";Ud;1,08;0,00
CONO;13;170;"6""";Ud;1,08;0,00
CONO;19;15;"1/4""";Ud;0,65;0,00
CONO;19;18;"3/8""";Ud;0,65;0,00
CONO;19;22;"1/2""";Ud;0,65;0,00
CONO;19;28;"3/4""";Ud;0,65;0,00
CONO;19;35;"1""";Ud;0,65;0,00
CONO;19;42;"1""1/4";Ud;0,65;0,00
CONO;19;48;"1""1/2";Ud;0,65;0,00
CONO;19;60;"2""";Ud;0,65;0,00
CONO;19;76;"2""1/2";Ud;0,65;0,00
CONO;19;89;"3""";Ud;0,65;0,00
CONO;19;114;"4""";Ud;1,08;0,00
CONO;19;140;"5""";Ud;1,08;0,00
CONO;19;170;"6""";Ud;1,08;0,00
CONO;25;15;"1/4""";Ud;0,65;0,00
CONO;25;18;"3/8""";Ud;0,65;0,00
CONO;25;22;"1/2""";Ud;0,65;2,06
CONO;25;28;"3/4""";Ud;0,65;2,06
CONO;25;35;"1""";Ud;0,65;2,06
CONO;25;42;"1""1/4";Ud;0,65;2,32
CONO;25;48;"1""1/2";Ud;0,65;2,32
CONO;25;60;"2""";Ud;0,65;2,32
CONO;25;76;"2""1/2";Ud;0,65;2,32
CONO;25;89;"3""";Ud;0,65;2,84
CONO;25;114;"4""";Ud;1,08;2,84
CONO;25;140;"5""";Ud;1,08;2,84
CONO;25;170;"6""";Ud;1,08;2,84
CONO;32;15;"1/4""";Ud;0,65;0,00
CONO;32;18;"3/8""";Ud;0,65;0,00
CONO;32;22;"1/2""";Ud;0,65;2,32
CONO;32;28;"3/4""";Ud;0,65;2,32
CONO;32;35;"1""";Ud;0,65;2,32
CONO;32;42;"1""1/4";Ud;0,65;2,58
CONO;32;48;"1""1/2";Ud;0,65;2,58
CONO;32;60;"2""";Ud;0,65;2,58
CONO;32;76;"2""1/2";Ud;0,65;2,58
CONO;32;89;"3""";Ud;0,65;3,09
CONO;32;114;"4""";Ud;1,08;3,35
CONO;32;140;"5""";Ud;1,08;4,12
CONO;32;170;"6""";Ud;1,08;4,12
CONO;40;15;"1/4""";Ud;0,65;0,00
CONO;40;18;"3/8""";Ud;0,65;0,00
CONO;40;22;"1/2""";Ud;0,65;2,58
CONO;40;28;"3/4""";Ud;0,65;2,58
CONO;40;35;"1""";Ud;0,65;2,58
CONO;40;42;"1""1/4";Ud;0,87;2,84
CONO;40;48;"1""1/2";Ud;0,87;2,84
CONO;40;60;"2""";Ud;1,08;2,84
CONO;40;76;"2""1/2";Ud;1,08;2,84
CONO;40;89;"3""";Ud;1,08;3,35
CONO;40;114;"4""";Ud;1,30;3,61
CONO;40;140;"5""";Ud;1,30;4,12
CONO;40;170;"6""";Ud;1,30;4,64
CONO;50;22;"1/2""";Ud;0,87;3,09
CONO;50;28;"3/4""";Ud;0,87;3,09
CONO;50;35;"1""";Ud;0,87;3,09
CONO;50;42;"1""1/4";Ud;1,30;3,35
CONO;50;48;"1""1/2";Ud;1,30;3,35
CONO;50;60;"2""";Ud;1,63;3,35
CONO;50;76;"2""1/2";Ud;1,95;3,35
CONO;50;89;"3""";Ud;1,95;3,61
CONO;50;114;"4""";Ud;2,06;4,12
CONO;50;140;"5""";Ud;2,06;4,64
CONO;50;170;"6""";Ud;2,06;4,64
CONO;60;114;"4""";Ud;2,86;5,15
CONO;60;140;"5""";Ud;3,10;5,15
CONO;60;170;"6""";Ud;3,10;5,15
REDUCCION;6;15;"1/4""";Ud;0,65;0,00
REDUCCION;6;18;"3/8""";Ud;0,65;0,00
REDUCCION;6;22;"1/2""";Ud;0,65;0,00
REDUCCION;6;28;"3/4""";Ud;0,65;0,00
REDUCCION;6;35;"1""";Ud;0,65;0,00
REDUCCION;6;42;"1""1/4";Ud;0,65;0,00
REDUCCION;9;15;"1/4""";Ud;0,65;0,00
REDUCCION;9;18;"3/8""";Ud;0,65;0,00
REDUCCION;9;22;"1/2""";Ud;0,65;0,00
REDUCCION;9;28;"3/4""";Ud;0,65;0,00
REDUCCION;9;35;"1""";Ud;0,65;0,00
REDUCCION;9;42;"1""1/4";Ud;0,65;0,00
REDUCCION;9;48;"1""1/2";Ud;0,65;0,00
REDUCCION;9;60;"2""";Ud;0,65;0,00
REDUCCION;9;76;"2""1/2";Ud;0,65;0,00
REDUCCION;9;89;"3""";Ud;0,65;0,00
REDUCCION;9;114;"4""";Ud;1,08;0,00
REDUCCION;9;140;"5""";Ud;1,08;0,00
REDUCCION;9;170;"6""";Ud;1,08;0,00
REDUCCION;13;15;"1/4""";Ud;0,65;0,00
REDUCCION;13;18;"3/8""";Ud;0,65;0,00
REDUCCION;13;22;"1/2""";Ud;0,65;0,00
REDUCCION;13;28;"3/4""";Ud;0,65;0,00
REDUCCION;13;35;"1""";Ud;0,65;0,00
REDUCCION;13;42;"1""1/4";Ud;0,65;0,00
REDUCCION;13;48;"1""1/2";Ud;0,65;0,00
REDUCCION;13;60;"2""";Ud;0,65;0,00
REDUCCION;13;76;"2""1/2";Ud;0,65;0,00
REDUCCION;13;89;"3""";Ud;0,65;0,00
REDUCCION;13;114;"4""";Ud;0,65;0,00
REDUCCION;13;140;"5""";Ud;1,08;0,00
REDUCCION;13;170;"6""";Ud;1,08;0,00
REDUCCION;19;15;"1/4""";Ud;0,65;0,00
REDUCCION;19;18;"3/8""";Ud;0,65;0,00
REDUCCION;19;22;"1/2""";Ud;0,65;0,00
REDUCCION;19;28;"3/4""";Ud;0,65;0,00
REDUCCION;19;35;"1""";Ud;0,65;0,00
REDUCCION;19;42;"1""1/4";Ud;0,65;0,00
REDUCCION;19;48;"1""1/2";Ud;0,65;0,00
REDUCCION;19;60;"2""";Ud;0,65;0,00
REDUCCION;19;76;"2""1/2";Ud;0,65;0,00
REDUCCION;19;89;"3""";Ud;0,65;0,00
